,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
300,Adana,Sarıçam,Yeşiltepe Mh.,Müstakil Ev,3+1,,180,4750000
301,Ankara,Yenimahalle,Kuzey Yıldızı Mh.,Villa,5+2,,300,5850000
302,Antalya,Manavgat,Ilıca Mh.,Residence,3+1,2,175,5550000
303,İzmir,Seferihisar,Hıdırlık Mh.,Daire,3+1,3,140,3600000
304,Antalya,Alanya,Tepe Mh.,Villa,8+1,,800,60500000
305,Ankara,Yenimahalle,Yeni Batı Mh.,Villa,7+1,,700,17000000
306,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mh.,Daire,2+1,15,110,3400000
307,Konya,Selçuklu,Buhara Mh.,Villa,6+1,,425,17000000
308,İzmir,Menderes,Çukuraltı Mh.,Yazlık,3+1,2,180,4130000
309,İzmir,Karşıyaka,Donanmacı Mh.,Daire,4+1,4,175,9800000
310,İstanbul,Sultanbeyli,Adil Mh.,Daire,2+1,5,126,4650000
311,Ankara,Gölbaşı,Ballıkpınar Mh.,Villa,5+2,Düz Giriş ,600,40750000
312,İstanbul,Sultanbeyli,Battalgazi Mh.,Daire,3+1,3,145,3250000
313,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,4+1,Yüksek Giriş,150,1320000
314,İstanbul,Pendik,Şeyhli Mh.,Daire,4+2,Çatı Dubleks,180,4190000
315,Ankara,Sincan,Mareşal Çakmak Mh.,Daire,2+1,4,110,1400000
316,Ankara,Sincan,Selçuklu Mh.,Daire,3+1,3,120,2080000
317,İstanbul,Şile,Kalem Mh.,Villa,6+2,,175,11500000
318,İstanbul,Sultangazi,Cebeci Mh.,Daire,2+1,2,95,2599000
319,İzmir,Urla,Kuşçular Mh.,Müstakil Ev,3+1,,300,3700000
320,Balıkesir,Edremit,Kapıcıbaşı Mh.,Daire,3+1,Yüksek Giriş,135,875000
321,Konya,Seydişehir,Alaylar Bir Mh.,Villa,5+3,,300,6000000
322,Ankara,Çankaya,Çukurambar Mh.,Daire,4+1,1,210,12000000
323,İstanbul,Ataşehir,Yeni Sahra Mh.,Daire,2+1,2,110,4650000
324,Ankara,Sincan,Menderes Mh.,Daire,3+1,2,130,2500000
325,Antalya,Döşemealtı,Ayanlar Mh.,Villa,9+,,1100,64000000
